Ungheni	Moldova
Szelków	Poland
Nakasongola	Uganda
Zhulan	China
Liandu	China
Yuanmou	China
Cegłów	Poland
Weifen	China
Changkeng	China
Miřetice	Czech Republic
Tan Sum	Thailand
Krujë	Albania
Bodzentyn	Poland
Pātan	Nepal
Jing’an	China
Jindu	China
Arboleda	Colombia
Karanglincak	Indonesia
Jatirogo	Indonesia
Hexi	China
Miragaia	Portugal
Nankun	China
Sunampe	Peru
Qianzhou	China
Pécs	Hungary
Stírion	Greece
Langgapayung	Indonesia
Volgodonsk	Russia
Chouto	Portugal
San Sebastian	Philippines
Campos do Jordão	Brazil
Karabanovo	Russia
Praingkareha	Indonesia
Shinaihai	China
Khairpur	Pakistan
Port Glaud	Seychelles
Huichang	China
Caba	Philippines
Şurmān	Libya
Ha’erlong	China
Zamora	Spain
Solntsevo	Russia
Candelaria	Philippines
Dili	East Timor
Baijiang	China
Esperanza	Philippines
Lokea	Indonesia
Nagornyy	Russia
Nanhai	China
Santo Domingo	Philippines
Delft	Netherlands
San Cristobal	Cuba
Bolesławiec	Poland
Tercena	Portugal
Abovyan	Armenia
Kuniran	Indonesia
Spassk-Dal’niy	Russia
Lyaskovets	Bulgaria
Huambalpa	Peru
Zhanbei	China
Ngantru	Indonesia
Paamiut	Greenland
Stockholm	Sweden
